54,OSD56,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
240,OSD19,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
192,OSD171,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
150,OSD48,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
15,OSD35,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
215,OSD117,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
251,OSD125,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
117,OSD100-1m-depth,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
156,OSD166,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
101,OSD30,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
77,OSD143,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
17,OSD78,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
8,OSD9,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
230,OSD102,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
9,OSD118,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
269,OSD164,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
255,OSD127,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
149,OSD47,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
168,OSD4,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
231,OSD103,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
80,OSD149,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
213,OSD184,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
90,OSD159,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
175,OSD45,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
195,OSD173,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
91,OSD61,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
191,OSD170,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
84,OSD151,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
18,OSD148,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
24,OSD152-5m-depth,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
39,OSD58,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
184,OSD124,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
92,OSD43,,LGC-GENOMICS,shotgun,raw,2015-03-08 19:17:02.768946
