osd_id|site_name|version|marine_region|start_lat|start_lon|stop_lat|stop_lon|sample_depth|sample_date|water_temperature|salinity|ph|phospahte|nitrate|carbon_organic_particulate|nitrite|carbon_organic_dissolved_doc|nano_microplankton|downward_par|conductivity|primary_production_isotope_uptake|primary_production_oxygen|dissolved_oxygen_concentration|nitrogen_organic_particulate_pon|meso_macroplankton|bacterial_production_isotope_uptake|nitrogen_organic_dissolved_don|ammonium|silicate|bacterial_production_respiration|turbidity|fluorescence|pigment_concentration|picoplankton_flow_cytometry|other_params|remarks
OSD57|ALAWAI|6|PACIFIC OCEAN HAWAII|21.28656|157.84351|21.28656|157.84351||2014-06-24|27.58|34|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"IN THE PACKAGE: THE SAMPLE LABELS SAY JUNE 14 AS THE SAMPLING DATE BUT IT WAS ACTUALLY JUNE 24. THE SAMPLES ARE ALL LABELLED THE SAME. REPLICATES ARE IDENTIFIED BY AN EXTRA NUMBER WRITTEN SEPARATELY FROM THE LABEL. EMAIL ME FOR QUESTIONS"
OSD56|KAKAAKO/KEWALO|6|PACIFIC OCEAN HAWAII|21.28880|156.86362|21.28880|156.86362||2014-06-24|26.06|35|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"IN THE PACKAGE: THE SAMPLE LABELS SAY JUNE 14 AS THE SAMPLING DATE BUT IT WAS ACTUALLY JUNE 24. THE SAMPLES ARE ALL LABELLED THE SAME. REPLICATES ARE IDENTIFIED BY AN EXTRA NUMBER WRITTEN SEPARATELY FROM THE LABEL. EMAIL ME FOR QUESTIONS"
OSD55|Bigelow Laboratory Dock on Damariscotta River|6|Gulf of Maine_North Atlantic|43.8604|-069.5781|43.8604|-069.5781|1|2014-06-21|12.5|32|not determined|to be measured|to be measured|not determined|to be measured|not determined|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|not determined|not determined|not determined|not determined|to be measured|[{"param_name":"Bacterial Abundance","param_value":"to be measured"}]|
OSD55|Bigelow Laboratory Dock on Damariscotta River|6|Gulf of Maine_North Atlantic|43.8604|-069.5781|43.8604|-069.5781|1|2014-06-21|12.5|32|not determined|to be measured|to be measured|not determined|to be measured|not determined|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|not determined|not determined|not determined|not determined|to be measured|[{"param_name":"Bacterial Abundance","param_value":"to be measured"}]|
OSD55|Bigelow Laboratory Dock on Damariscotta River|6|Gulf of Maine_North Atlantic|43.8604|-069.5781|43.8604|-069.5781|1|2014-06-21|12.5|32|not determined|to be measured|to be measured|not determined|to be measured|not determined|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|to be measured|not determined|not determined|not determined|not determined|to be measured|[{"param_name":"Bacterial Abundance","param_value":"to be measured","uom":"number per m^3"}]|
OSD54|Booth Bay Long Term Times Series Station|6|Gulf of Maine_North Atlantic|43.8444|-069.6409|43.8444|-069.6409|1|2014-06-21|11.9|31|not determined|to be measured|to be measured|not determined|to be measured|not determined|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|to be measured|not determined|not determined|not determined|not determined|to be measured|[{"param_name":"Bacterial Abundance","param_value":"to be measured","uom":"number per m^3"}]|
OSD53|Ras Disha|6|Red Sea|27.041533|33.907033|27.041533|33.9082|1|2014-06-21|27.283333333|38.352|8.218|not determined|not determined|not determined|not determined|not determined|not determined|not determined|60.16383333|not determined|not determined|204.6354167|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD52|Abu Hashish|6|Red Sea|27.02527|33.91255|27.02527|33.91253|1|2014-06-21|27|38.34333333|8.22|not determined|not determined|not determined|not determined|not determined|not determined|not determined|59.8573333|not determined|not determined|191.1249|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD52|Abu Hashish|6|Red Sea|27.02527|33.91255|27.02527|33.91253|1|2014-06-21|27|38.34333333|8.22|not determined|not determined|not determined|not determined|not determined|not determined|not determined|59.8573333|not determined|not determined|191.1249|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD51|STRI Point- Monitoring Program|6|Caribbean Sea Central America|+09.3485|-082.2660|+09.3485|-082.2660|2|2014-06-21|29|34.5|8.12|not determined|not determined|not determined|not determined|not determined|not determined|not determined|52.5|not determined|not determined|170.8|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|[{"param_name":"Secchi Disk","param_value":"10.5","uom":"meter"}]|
OSD51|STRI Point-Monitoring Program|6|Caribbean Sea Central America|+09.3485|-082.2660|+09.3485|-082.2660|1|2013-12-20|28.1|33.5|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|51.2|not determined|not determined|180.9|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|[{"param_name":"Air saturation","param_value":"94.5","uom":"%"}]|
OSD51|STRI Point_ Monitoring Program|6|Caribbean Sea Central America|+09.3485|-082.2660|+09.3485|-082.2660|2|2014-06-21|29.1|34.6|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|52.7|not determined|not determined|193.7|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|[{"param_name":"Secchi Disk","param_value":"10.5","uom":"meter"}]|
OSD51|STRI Point-Monitoring Program|6|Caribbean Sea Central America|+09.3485|-082.2660|+09.3485|-082.2660|1|2013-12-21|28.1|33.5|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|51.2|not determined|not determined|179|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|[{"param_name":"Air Saturation","param_value":"96.0","uom":"%"}]|
OSD51|STRI Point-Monitoring Program|6|Caribbean Sea Central America|+09.3485|-082.2660|+09.3485|-082.2660|1|2013-12-21|28.1|33.5|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|51.1|not determined|not determined|181.8|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|[{"param_name":"Air Saturation","param_value":"95.6","uom":"%"}]|
OSD51|STRI Point- Monitoring Program|6|Caribbean Sea Central America|+09.3485|-082.2660|+09.3485|-082.2660|2|2014-06-21|29.1|34.6|8.14|not determined|not determined|not determined|not determined|not determined|not determined|not determined|52.7|not determined|not determined|170.8|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|[{"param_name":"Secchi Disk","param_value":"10.5","uom":"meter"}]|
OSD51|STRI Point-Monitoring Program|6|Caribbean Sea Central America|+09.3485|-082.2660|+09.3485|-082.2660|1|2013-12-21|28.1|33.5|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|51.2|not determined|not determined|182.4|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|[{"param_name":"Air Saturation","param_value":"90.9","uom":"%"}]|
OSD51|STRI Point- Monitoring Program|6|Caribbean Sea Central America|+09.3485|-082.2660|+09.3485|-082.2660|2|2014-06-21|29|34.6|8.12|not determined|not determined|not determined|not determined|not determined|not determined|not determined|52.7|not determined|not determined|1866.66|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|[{"param_name":"Secchi Disc","param_value":"10.5","uom":"meter"}]|
OSD51|STRI Point- Monitoring Program|6|Caribbean Sea Central America|+09.3485|-082.2660|+09.3485|-082.266|2|2014-06-21|29|34.4|8.15|not determined|not determined|not determined|not determined|not determined|not determined|not determined|52.4|not determined|not determined|192.5|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|[{"param_name":"Secchi Disk","param_value":"10.2","uom":"meter"}]|
OSD51|STRI Point- Monitoring Program|6|Caribbean Sea Central America|+09.3485|-082.2660|+09.3485|-082.2660|2|2014-06-21|29.1|34.6|8.14|not determined|not determined|not determined|not determined|not determined|not determined|not determined|52.7|not determined|not determined|179.3|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|[{"param_name":"Secchi Disc","param_value":"10.5","uom":"meter"}]|
OSD51|STRI Point- Monitoring Program|6|Caribbean Sea Central America|+09.3485|-082.2660|+09.3485|-082.2660|2|2014-06-21|28.7|34.5|8.12|not determined|not determined|not determined|not determined|not determined|not determined|not determined|52.6|not determined|not determined|182.4|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|[{"param_name":"Secchi Disk","param_value":"10.5","uom":"meter"}]|
OSD51|STRI Point- Monitoring Program|6|Caribbean Sea Central America|+09.3485|-082.2660|+09.3485|-082.2660|2|2014-06-21|29.1|34.6|8.07|not determined|not determined|not determined|not determined|not determined|not determined|not determined|52.7|not determined|not determined|172.02|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|[{"param_name":"Secchi Disk","param_value":"10.5","uom":"meters"}]|"\n"
OSD50|Pasaia EOM|6|Cantabrian Sea / Bay of Biscay|43.316666667|-1.927777778|43.316666667|-1.927777778|1|2014-06-20|20|34.3|8.34|to be measured|to be measured|to be measured|to be measured|to be measured|will not be measured|97.9|not determined|not determined|will not be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|0.64|not determined|not determined|not determined|not determinded|"PROF(m)\tTEMP(Â°C)\tSAL(USP)\tSigma Theta\t% L. T.\tP A R\tClorofila \"a\"\tO2(ml/l)\t% SAT. O2\tpH \nSuperficie\t20.023\t34.297\t24.220\t83.71\t97.9\t0.86\t5.62\t108\t8.24"
OSD5|M3ACrete|6|Sea of Crete, MRGID:3339, GIZ:00008919|+35.661|+24.99|+35.661|+24.99|75|2014-06-19|16.87|39.21|8.2|to be measured|to be measured|to be measured|to be measured|will not be measured|to be measured|41.662|49.58|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|to be measured|to be measured|will not be measured|will not be measured|0.6431|to be measured|will not be measured|not determinded|
OSD5|CreteGOS|6|Sea of Crete, MRGID:3339, GIZ:00008919|+35.661|+24.99|+35.661|+24.99|1|2014-06-21|24.46|39.29|8.2|to be measured|to be measured|to be measured|to be measured|will not be measured|to be measured|1623.7|58.18|not determined|will not be measured|not determined|to be measured|will not be measured|will not be measured|will not be measured|to be measured|to be measured|will not be measured|will not be measured|-0.208|to be measured|will not be measured|not determinded|
OSD5|M3ACrete|6|Sea of Crete, MRGID:3339, GIZ:00008919|+35.661|+24.99|+35.661|+24.99|1|2014-06-19|24.45|39.26|8.2|to be measured|to be measured|to be measured|to be measured|will not be measured|to be measured|1217.4|58.14|will not be measured|will not be measured|will not be measured|to be measured|will not be measured|will not be measured|will not be measured|to be measured|to be measured|not determined|will not be measured|-0.1116|to be measured|will not be measured|not determinded|"There is another data set for the same station OSD5 and for the same depth (1m-surface water). Please, discard the other one and keep the present one, because this one is the correct."
OSD49|Slovenia (Vida)|6|Adriatic Sea|45.548833|68.05|45.548833|68.05|2|2014-06-21|22|34|8.3|0.067|2.59|not determined|0.018|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|0.3|not determined|not determinded|
OSD49|Slovenia (Vida)|6|Adriatic Sea|45.548833|68.05|45.548833|68.05|2|2014-06-21|22|34|8.3|0.067|2.59|not determined|0.018|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|0.3|not determined|not determinded|
OSD48|Venice Gulf|6|Adriatic Sea, Gulf of Venice|+45.4125|+12.5265|+45.4125|+12.5265||2014-06-21|22.2|33.14|8.28|0.09|4.89|will not be measured|0.17|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|7.31|will not be measured|will not be measured|will not be measured|will not be measured|4.92|6.33|will not be measured|will not be measured|will not be measured|0.53|will not be measured|not determinded|
OSD47|Venice Lagoon|6|Adriatic Sea, Lagoon of Venice|+45.502|+12.4176|+45.502|+12.4176||2014-06-21|25.3|27.42|7.67|0.165|1.75|will not be measured|1.24|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|4.26|will not be measured|will not be measured|will not be measured|will not be measured|2.01|13.37|will not be measured|will not be measured|will not be measured|2.08|will not be measured|not determinded|
OSD46|Gulf of Mexico, Mississippi, USA|6|Gulf of Mexico, USA, 14 km from coast|30.24840|-88.74825|30.24840|-88.74825|0.05|2014-06-21|29.8|17.5|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|187|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
osd45|Gulf of Mexico-Florida - Tampa Bay|6|Gulf of Mexico - Mouth of Tampa Bay - from Ft. DeSoto Fishing Pier on Mullet Key|+27.61578|-82.72587|+27.61578|-82.72587||2014-06-22|31.2|33.84|8.23|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|11.2|not determined|not determined|not determined|not determinded|"there was NO upper threshold.  I entered 0 because your website require some number to continue, but there was no upper size threshold - untreated seawater was filtered through 0.22um sterivex filters.  All filtration volumes listed are in Liters.  Dissolved oxygen for Site OSD45 was 94.0% and 5.93 mg/L...please convert to umol/Kg and enter into database."
OSD42|Faro Lake|6|Faro Lake, Messina Mediterranean sea|38.26861|15.63708|38.26861|15.63708|3|2014-06-21|20|36.8|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD41|Sequim Bay State Park, Sequim Bay, WA, USA|6|Pacific Northwest, Washington state, USA|48.04051|-123|48.04051|-123.025684|1|2014-06-21|15.9|24.73|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|32055|not determined|not determined|0.01|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|305.7|not determined|not determinded|"Algal bloom was determined to be caused by Heterosigma (mostly) and by Gonyaulax.  \nOur previous samples were low in DNA, therefore, we decided to filter 12 samples in hopes that this time we will have enough DNA for analysis."
OSD4|Long-term MareChiara station (LTER-MC), Naples|6|Gulf of Naples - Tyrrhenian Sea |40.8080|14.25|40.8080|14.25||2014-06-20|23.206|37.064|8.11|0.24|0.59|to be measured|0.09|to be measured|8918111000|not determined|53306.44746|not determined|not determined|200.59|to be measured|1548|not determined|not determined|0.61|1.86|not determined|not determined|1.9|to be measured|to be measured|[{}]|"Environmental data including nutrients, chl a, phytoplankton pigments by hplc and picoplankton by flow cytometry are provided by the MECA Facility of SZN (contact dr. R. Casotti, raffa@szn.it); phytoplankton abundance data are provided by Taxonomy and Identification of Marine Phytoplankton service (dr. D. Sarno, diana@szn.it)  and zooplankton abundance data are provided by the Laboratory of Ecology and Evolution of Plankton of SZN (contact dr. M. G. Mazzocchi, grazia@szn.it)."
OSD4|Long-term MareChiara station (LTER-MC), Naples|6|Gulf of Naples - Tyrrhenian Sea |40.8080|14.25|40.8080|14.25||2014-06-20|23.206|37.064|8.11|0.24|0.59|to be measured|0.09|to be measured|8918111000|not determined|53306.44746|not determined|not determined|200.59|to be measured|1548|not determined|not determined|1548|1.86|not determined|not determined|1.9|not determined|to be measured|not determinded|"Environmental data including nutrients, chl a, phytoplankton pigments by hplc and picoplankton by flow cytometry are provided by the MECA Facility of SZN (contact dr. R. Casotti, raffa@szn.it); phytoplankton abundance data are provided by Taxonomy and Identification of Marine Phytoplankton service (dr. D. Sarno, diana@szn.it)  and zooplankton abundance data are provided by the Laboratory of Ecology and Evolution of Plankton of SZN (contact dr. M. G. Mazzocchi, grazia@szn.it)."
OSD39|Charleston Harbor, SC|6|Charleston Harbor, SC|32.75240|79.89954|32.75240|79.89954|0.1|2014-06-19|31.3|24.3|8|not determined|not determined|not determined|not determined|not determined|not determined|not determined|37.56|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
osd38|Florida Coral 2 - Long Key|6|Florida Straits - Florida Keys Coastal Reef Tract.|+24.74490|-82.78375|+24.74490|-82.78375||2014-06-20|29.6|36.25|7.89|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|0.23|not determined|not determined|not determined|not determinded|"there was NO upper threshold.  I entered 0 because your website require some number to continue, but there was no upper size threshold - untreated seawater was filtered through 0.22um sterivex filters.  All filtration volumes listed are in Liters.  Dissolved oxygen for Site OSD38 was 94.5% and 5.97 mg/L...please convert to umol/Kg and enter into database."
OSD37|Florida Coral 1-Port Everglades|6|Coastal Atlantic Ocean just offshore of Port Everglades, Broward County, Florida, USA.|+26.10293|-80.09315|+26.10293|-80.09315|1|2014-06-19|27.7|33.82|8.03|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|1.01|not determined|not determined|not determined|not determinded|"There was NO upper threshold.  I entered 0 because your website required some number to continue, but there was no upper size threshold - untreated seawater was filtered through 0.8um polycarbonate flat filters.  All filtration volumes listed are in Liters.  Dissolved oxygen for Site OSD37 was 76.1% and 4.98 mg/L...please convert to umol/Kg and enter into database."
OSD37|Florida Coral 1-Port Everglades|6|Coastal Atlantic Ocean just offshore of Port Everglades, Broward County, Florida, USA.|+26.10293|-80.09315|+26.10293|-80.09315|1|2014-06-19|27.7|33.82|8.03|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|1.61|not determined|not determined|not determined|not determinded|"there was NO upper threshold.  I entered 0 because your website require some number to continue, but there was no upper size threshold - untreated seawater was filtered through 0.22um sterivex filters.  All filtration volumes listed are in Liters.  Dissolved oxygen for SiteOSD37 was 76.1% and 4.98 mg/L...please convert to umol/Kg and enter into database."
OSD35|OSD35|6|Chesapeake Bay, Tred Avon River|38.6792|76.1742|38.6792|76.1742|0.5|2014-06-14|26.32|8.97|7.98|not determined|not determined|not determined|not determined|not determined|not determined|not determined|15.41|not determined|not determined|260.37|not determined|not determined|not determined|not determined|not determined|not determined|not determined|9|not determined|not determined|not determined|[{"param_name":"Chlorophyll - CTD","param_value":"6","uom":"mg/L"},{"param_name":"Secchi Depth","param_value":"2.3","uom":"meter"}]|"Estuarine water sample...may wish to correct biome"
OSD34|OSD34 Alexandria|6|Mediterranean sea|31.21667|29.96667|31.21667|29.96667|1|2014-06-21|27|36|8.01|not determined|not determined|not determined|not determined|not determined|not determined|not determined|57.4|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|[{"param_name":"Calcium (Ca)","param_value":"26.0","uom":"meq/L"},{"param_name":"Potassium (K)","param_value":"11.0","uom":"meq/L"},{"param_name":"Magnesium (Mg)","param_value":"1","uom":"meq/L"},{"param_name":"Sodium (Na)","param_value":"442.8","uom":"meq/L"},{"param_name":"Chloride (Cl)","param_value":"745.0","uom":"meq/L"},{"param_name":"Bicarbonate (HCO3)","param_value":"2.2","uom":"meq/L"},{"param_name":"Carbonate (CO3)","param_value":"1.6","uom":"meq/L"}]|
OSD30|Finland/TvÃ¤rminne|6|Northern Baltic Sea|59.8822|23.2538|59.8822|23.2538|2|2014-06-20|10.5|5.63|7.85|0.2||not determined||not determined|not determined|not determined|7.203|not determined|not determined|10.46|not determined|not determined|not determined|not determined||8.1|not determined|not determined|not determined|not determined|not determined|not determinded|"Conductivity is given in mmho/cm\ndissolved oxygen is given in mg/L\nboth need to be converted"
OSD30|Finland/TvÃ¤rminne|6|Northern Baltic Sea|59.8822|23.2538|59.8822|23|2|2014-06-20|10.5|5.63|7.85|0.2||not determined||not determined|not determined|not determined|7.203|not determined|not determined|10.46|not determined|not determined|not determined|not determined||8.1|not determined|not determined|not determined|not determined|not determined|not determinded|"conductivity was measured in mmho/cm\ndiss oxygen is given in mg/L"
OSD30|Finland/TvÃ¤rminne|6|Northern Baltic Sea|59.8822|23.2538|59.8822|23.2538|2|2014-06-20|10.5|5.63|7.85|0.2||not determined||not determined|not determined|not determined|7.203|not determined|not determined|10.46|not determined|not determined|not determined|not determined||8.1|not determined|not determined|not determined|not determined|not determined|not determinded|"Conductivity is given in mmho/cm\ndissolved oxygen is given in mg/L\nboth need to be converted"
OSD3|Helgoland|6|North Sea|54.18194|7.9|54.18194|7.9|0.1|2014-06-20|14|32.591|8.11|0.1|2.86|not determined|0.12|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|0.93|3.37|not determined|not determined|not determined|not determined|not determined|[{"param_name":"dissolved inorganic nitrogen (DIN)","param_value":"3.91","uom":"Âµmol/L"},{"param_name":"Chl a BBE","param_value":"2.855","uom":"Âµg/L"},{"param_name":"SECCI depth","param_value":"3.8","uom":"m"},{"param_name":"NOx","param_value":"2.98","uom":"Âµmol/L"},{"param_name":"O2","param_value":"7.59","uom":"mg/L"}]|
OSD3|Helgoland|6|North Sea|54.18194|7.9|54.18194|7.9|0.1|2014-06-20|14|32.591|8.11|0.1|2.86|not determined|0.12|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|0.93|3.37|not determined|not determined|not determined|not determined|not determined|[{"param_name":"dissolved inorganic nitrogen (DIN)","param_value":"3.91","uom":"Âµmol/L"},{"param_name":"Chl a BBE","param_value":"2.855","uom":"Âµg/L"},{"param_name":"SECCI depth","param_value":"3.8","uom":"m"},{"param_name":"NOx","param_value":"2.98","uom":"Âµmol/L"},{"param_name":"O2","param_value":"7.59","uom":"mg/L"}]|
OSD29|Smithsonian Marine Station|6|Atlantic Ocean|27.4694|80.283366|27.4694|80.283366|0.5|2014-06-21|26.9|35.7|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|5.6|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD28|Carrie Bow Cay Field Station, Belize|6|Caribbean Sea|16.802575|88.08165|16.802575|88.08165|0.5|2014-06-21|29.5|35|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD26|Tangier|6|Mediterranean sea|+35.82|-5.75|+35.82|-5.75||2014-06-06|28|24.87|7.69|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|49.7|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|[{"param_name":"suspended matter","param_value":"126","uom":"mg/l"},{"param_name":"particulate organic matter","param_value":"29","uom":"mg/l"}]|
OSD25|Saidia Rocher|6|mediterranean sea|+35.5.10.87|-2.12.52.77|+35.5.10.87|-2.12.52.77||2014-06-06|23.1|30|8.03|0.16|0.67|243|0.01|475|will not be measured|will not be measured|51.1|will not be measured|will not be measured|7|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|0.18|will not be measured|[{"param_name":"DBO","param_value":"2","uom":"mg/l"},{"param_name":"particulate organic carbon","param_value":"1","uom":"ug/l"},{"param_name":"organic matter","param_value":"16","uom":"mg/l"},{"param_name":"suspended matter","param_value":"83","uom":"mg/l"},{"param_name":"chlorosity","param_value":"20"}]|
OSD24|Marchica Nador|6|Lagoon |+35.11.562|-002.52.803|+35.11.562|-002.52.803||2014-06-06|26.5|25.9|7.89|0.25|12.5|will not be measured|0.2|1150|will not be measured|will not be measured|52.03|will not be measured|will not be measured|7.78|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|3.62|will not be measured|will not be measured|will not be measured|[{"param_name":"Suspended matter","param_value":"92","uom":"mg/l"},{"param_name":"Particulate organic matter","param_value":"23","uom":"mg/l"}]|
OSD22|Solemio-SOMLIT Station|6|North Western Mediterranean Sea|+43.22639|+5.74583|+43.22639|+5.74583|1|2014-06-23|21.9952|38.0871|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"There is no place here to figure out what is written on the sterivex tubes!!! Please refer to the logsheets."
OSD22|Solemio-SOMLIT Station|6|North Western Mediterranean Sea|+43.22639|+5.74583|+43.22639|+5.74583|1|2014-06-23|21.9952|38.0871|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"There is no place here to figure out what is written on the sterivex tubes!!! Please refer to the logsheets."
OSD22|Solemio-SOMLIT Station|6|North Western Mediterranean Sea|+43.22639|+5.74583|+43.22639|+5.74583|1|2014-06-23|21.9952|38.0871|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"There is no place here to figure out what is written on the sterivex tubes!!! Please refer to the logsheets."
OSD22|Solemio-SOMLIT Station|5|North Western Mediterranean Sea|||||1|2014-06-23|||not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"This is an uncomplete version. We are still waiting new data, and some recommendations from OSD Team."
OSD2|Roscoff SOMLIT Time Series Station|6|English Channel (Brittany coast)|+48.777778|-3.9375|+48.777778|-3.9375|1|2014-06-20|14.3|35.086|8.02|0.1|1.3|to be measured|0.11|will not be measured|to be measured|to be measured|will not be measured|will not be measured|will not be measured|to be measured|to be measured|will not be measured|will not be measured|will not be measured|0.58|0.9|will not be measured|will not be measured|to be measured|1.9|to be measured|not determinded|"Dissolved inorganic carbon and alkalinity will be measured"
OSd2|jjjj|5|jjjj|||||8|2014-07-02|22|34|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD187_Palmer Station|OSD187-Palmer Station|6|Western Antarctic Peninsula|-64.77|-64.05|-64.77|-64.05|5.8|2013-12-20|-0.9|32|not determined|to be measured|to be measured|to be measured|to be measured|to be measured|to be measured|not determined|not determined|not determined|not determined|not determined|to be measured|not determined|not determined|not determined|to be measured|to be measured|not determined|not determined|not determined|to be measured|to be measured|[{"param_name":"Bacterial Leucine incorporation rate","uom":"picomolePerLiterPerHour"}]|
